path,mime_type,hash_sha256,size_bytes,created_time,modified_time,accessed_time,exif_tags
C:/Users/vgree/Downloads\weather-app-main\.gitignore,unknown,1ff7f7aa1b5e964a13d38a18b48938517b97d714480c09532cbca67105f3d1b9,405,2025-10-17T16:29:44,2025-10-24T16:40:24.368753,2025-11-04T09:19:55.230018,[]
C:/Users/vgree/Downloads\weather-app-main\index.html,text/html,9ca12e74cfe71faf7e9e56e8fb18e57fc06ac12b9c539a78dd0fbfa04dffaa95,1346,2025-10-17T16:29:44,2025-10-24T16:40:25.196855,2025-10-24T16:40:26.168111,[]
C:/Users/vgree/Downloads\weather-app-main\preview.jpg,image/jpeg,e81b21bc6bb79a995e2b7dd618e4c0be18bf8dd9e390b3a794203467c9039636,80591,2025-10-17T16:29:44,2025-10-24T16:40:25.650212,2025-10-25T14:50:55.736386,[]
C:/Users/vgree/Downloads\weather-app-main\README-template.md,text/markdown,6a699b79d508c33f4617d796c78fe76e991f39195c5bd80dc9d44e564ddfa250,5478,2025-10-17T16:29:44,2025-10-24T16:40:24.712497,2025-10-24T16:40:24.712497,[]
C:/Users/vgree/Downloads\weather-app-main\README.md,text/markdown,d4b8cce09ff437aefba1e72d9e7a4c6cfc5ad5ccf17291072afb727ff00a0ef3,6782,2025-10-17T16:29:44,2025-10-24T16:40:24.946870,2025-10-24T16:40:24.946870,[]
C:/Users/vgree/Downloads\weather-app-main\style-guide.md,text/markdown,a2a420745df00826d49c637994e344140f814f4a2601e5c093072c8c85d20127,1306,2025-10-17T16:29:44,2025-10-24T16:40:25.933745,2025-10-24T16:40:25.933745,[]
"C:/Users/vgree/Downloads\weather-app-main\assets\fonts\Bricolage_Grotesque\BricolageGrotesque-VariableFont_opsz,wdth,wght.ttf",unknown,31b91d15aae398699fae58363dbc8ca1167faffe7d2cd62e68c716dcaa7d5fdd,407844,2025-10-17T16:29:44,2025-10-24T16:40:26.293115,2025-10-24T16:40:35.136610,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\Bricolage_Grotesque\OFL.txt,text/plain,a093964b3ca71526ae129d0d5f39bc9dba905ae5ebeb72d741bb0d4ed2d5d5b0,4496,2025-10-17T16:29:44,2025-10-24T16:40:26.574363,2025-10-24T16:40:27.583905,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\Bricolage_Grotesque\README.txt,text/plain,7018b62cfce5b9b5d426708a3e95cbafb4c94b11560d69a63238c71a110e99ae,2189,2025-10-17T16:29:44,2025-10-24T16:40:26.902487,2025-10-24T16:40:27.552658,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\Bricolage_Grotesque\static\BricolageGrotesque-Bold.ttf,unknown,a737b146fe0d77ffe8a86e3cd16700dd431d3b1e420d4fd80e142cd68a1cb50d,90952,2025-10-17T16:29:44,2025-10-24T16:40:27.224548,2025-10-24T16:40:35.136610,[]
