timestamp,src_ip,anomaly_score,reason
2025-10-28 12:17:58,10.0.70.2,0.0352,high_syns=93
2025-10-28 12:17:58,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:58,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:58,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:58,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:58,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0360,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0351,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0351,high_syns=93
2025-10-28 12:17:59,10.0.70.2,0.0351,high_syns=92
2025-10-28 12:17:59,10.0.70.2,0.0383,high_syns=92
2025-10-28 12:17:59,10.0.70.2,0.0383,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:00,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0441,high_syns=92
2025-10-28 12:18:01,10.0.70.2,0.0441,high_syns=93
2025-10-28 12:18:01,10.0.70.2,0.0441,high_syns=94
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=95
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=96
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=97
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0432,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=98
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=99
2025-10-28 12:18:01,10.0.70.2,0.0428,high_syns=99
